[20:56:39] [INFO] received Windows console close event; shutting log-core down
[21:02:23] [INFO] received Windows console close event; shutting log-core down
[00:21:51] [INFO] received Windows console close event; shutting log-core down
[18:16:05] [INFO] received Windows console close event; shutting log-core down
[18:30:09] [INFO] received Windows console close event; shutting log-core down
[19:21:00] [INFO] received Windows console close event; shutting log-core down
[19:32:28] [INFO] received Windows console close event; shutting log-core down
[20:11:23] [INFO] received Windows console close event; shutting log-core down
[20:14:23] [INFO] received Windows console close event; shutting log-core down
[23:04:18] [INFO] received Windows console close event; shutting log-core down
[16:53:33] [INFO] received Windows console close event; shutting log-core down
[17:36:27] [INFO] received Windows console close event; shutting log-core down
[17:57:32] [INFO] received Windows console close event; shutting log-core down
[14:58:59] [INFO] received Windows console close event; shutting log-core down
[15:02:41] [INFO] received Windows console close event; shutting log-core down
[15:39:15] [INFO] received Windows console close event; shutting log-core down
[20:14:55] [INFO] received Windows console close event; shutting log-core down
[20:20:31] [INFO] received Windows console close event; shutting log-core down
[20:21:30] [INFO] received Windows console close event; shutting log-core down
[22:38:23] [INFO] received Windows console close event; shutting log-core down
[23:26:24] [INFO] received Windows console close event; shutting log-core down
[21:34:38] [INFO] received Windows console close event; shutting log-core down
[21:36:34] [INFO] received Windows console close event; shutting log-core down
[21:41:53] [INFO] received Windows console close event; shutting log-core down
[22:04:32] [INFO] received Windows console close event; shutting log-core down
[22:06:50] [INFO] received Windows console close event; shutting log-core down
[22:08:57] [INFO] received Windows console close event; shutting log-core down
[22:09:35] [INFO] received Windows console close event; shutting log-core down
[22:10:28] [INFO] received Windows console close event; shutting log-core down
[22:13:12] [INFO] received Windows console close event; shutting log-core down
[01:09:10] [INFO] received Windows console close event; shutting log-core down
[01:13:57] [INFO] received Windows console close event; shutting log-core down
[01:25:28] [INFO] received Windows console close event; shutting log-core down
[01:30:18] [INFO] received Windows console close event; shutting log-core down
[01:31:50] [INFO] received Windows console close event; shutting log-core down
[01:33:15] [INFO] received Windows console close event; shutting log-core down
[01:37:20] [INFO] received Windows console close event; shutting log-core down
[01:38:52] [INFO] received Windows console close event; shutting log-core down
[09:46:27] [INFO] received Windows console close event; shutting log-core down
[09:54:56] [INFO] received Windows console close event; shutting log-core down
[18:56:58] [INFO] received Windows console close event; shutting log-core down
[19:05:16] [INFO] received Windows console close event; shutting log-core down
[20:02:17] [INFO] received Windows console close event; shutting log-core down
[21:30:18] [INFO] received Windows console close event; shutting log-core down
[21:55:51] [INFO] received Windows console close event; shutting log-core down
[22:26:43] [INFO] received Windows console close event; shutting log-core down
[22:52:54] [INFO] received Windows console close event; shutting log-core down
[23:04:27] [INFO] received Windows console close event; shutting log-core down
[15:34:21] [INFO] received Windows console close event; shutting log-core down
[15:50:11] [INFO] received Windows console close event; shutting log-core down
[15:52:28] [INFO] received Windows console close event; shutting log-core down
[15:56:02] [INFO] received Windows console close event; shutting log-core down
[16:17:30] [INFO] received Windows console close event; shutting log-core down
[16:20:50] [INFO] received Windows console close event; shutting log-core down
[16:20:56] [INFO] received Windows console close event; shutting log-core down
[16:27:01] [INFO] received Windows console close event; shutting log-core down
[21:04:22] [INFO] received Windows console close event; shutting log-core down
[21:31:51] [INFO] received Windows console close event; shutting log-core down
[21:35:53] [INFO] received Windows console close event; shutting log-core down
[21:38:11] [INFO] received Windows console close event; shutting log-core down
[21:42:59] [INFO] received Windows console close event; shutting log-core down
[21:57:30] [INFO] received Windows console close event; shutting log-core down
[22:06:28] [INFO] received Windows console close event; shutting log-core down
[12:12:59] [INFO] received Windows console close event; shutting log-core down
[12:19:28] [INFO] received Windows console close event; shutting log-core down
[14:08:46] [INFO] received Windows console close event; shutting log-core down
[14:13:19] [INFO] received Windows console close event; shutting log-core down
[14:15:07] [INFO] received Windows console close event; shutting log-core down
[14:17:29] [INFO] received Windows console close event; shutting log-core down
[14:18:51] [INFO] received Windows console close event; shutting log-core down
[14:19:58] [INFO] received Windows console close event; shutting log-core down
[14:21:15] [INFO] received Windows console close event; shutting log-core down
[19:55:02] [INFO] received Windows console close event; shutting log-core down
[11:16:44] [INFO] received Windows console close event; shutting log-core down
